location_id,city,state,region
L01,Fernandezburgh,AL,South
L02,South Deborah,VI,Central
L03,East Christy,DC,Central
L04,Port Carolynchester,TX,West
L05,South Michael,MI,North
L06,Courtneyview,KS,Central
L07,West Kelly,CO,South
L08,Davidburgh,WV,East
L09,Lorraineport,MD,North
L10,Vanessachester,DE,Central
L11,Padillaview,IN,West
L12,East Douglas,LA,North
L13,Lake Kimberlyberg,UT,Central
L14,New Elizabeth,MH,Central
L15,Danielport,MS,East
L16,South Joeborough,VT,Central
L17,Lozanofurt,WA,South
L18,Lake Natashaton,NC,Central
L19,East Anne,NJ,West
L20,Christinehaven,WV,South
